"code","iso","country","TBN.ind.1995","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554362181729999,0.554362181729999,0.554362181729999,0.554362181729999,0.554362181729999,0.554362181729999,0.554362181729999,9.77208931476359,9.77361212468612,9.77361212468612,13.917481296945,20.6085164303291,20.6085164303291
8,"ALB","Albania",5.83327053075502,7.75877448116747,20.1822140341312,20.9185991740314,20.9185991740314,31.5619394879013,31.5619394879013,31.5619394879013,31.6541644730226,32.9675397327354,36.9829332543033,46.8830465290216,57.7699743053434,65.5709731757224,79.5226223266047,79.5226223266047,81.1354242103382,83.7025224700676,89.0441077411853,91.2458230629329,91.2458230629329,91.2458230629329,91.2458230629329,91.2458230629329,100,100,100,100
12,"DZA","Algeria",0.435627462597744,0.435627462597744,0.435627462597744,0.435627462597744,0.435627462597744,0.435834827937379,0.435834827937379,5.33631630772232,5.33631630772232,6.53343342421277,6.94080043600924,6.94080043600924,6.94080043600924,6.94080043600924,6.94080043600924,6.98995481712388,6.98995481712388,7.014886546915,7.014886546915,7.014886546915,7.014886546915,7.014886546915,7.014886546915,7.014886546915,7.014886546915,7.07882881557224,7.07882881557224,7.07882881557224
20,"AND","Andorra",31.6258999797819,31.6258999797819,31.6258999797819,31.6258999797819,31.6258999797819,31.6258999797819,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",29.8477484524235,29.8477484524235,29.8477484524235,29.8477484524235,29.8477484524235,29.8477484525431,29.8477484525431,29.8477484525431,29.8477484525431,29.8477484525431,29.8477484525431,87.3701892069076,87.3701892069076,87.3701892069076,88.6747062962518,88.6747062962518,88.6747062962518,88.6747062962518,88.6747062962518,88.6747062962518,88.6747062987818,88.6747062987818,88.6747062987818,88.6747062987818,88.6747062987818,88.6747062987818,88.6747062987818,88.6747062987818
32,"ARG","Argentina",27.2147693469951,27.7710212354492,28.2647932881668,29.5743246231091,29.7367455502093,31.9288498749758,33.7096121756256,34.9235954744832,35.3316149980711,36.8802959475549,38.3182411474425,39.117747284965,39.6029169428039,39.6308625001659,39.8483069968531,39.9468292124073,39.9943729089541,40.0214585526181,40.1840351734945,40.2411257859862,40.5251048912553,41.2512373428353,41.2557436876179,41.4606837185717,41.6926070828426,41.7235168343142,41.7235168343142,41.7235168343142
51,"ARM","Armenia",99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882
533,"ABW","Aruba",2.03529279045422,2.03529279045422,2.03529279045422,2.03529279045422,2.03529279045422,2.03529279045422,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676
36,"AUS","Australia",32.3969425799619,32.5992408151636,33.2098607022983,33.4583621360063,33.8325894514537,35.0716985882543,37.6435724155809,37.8927713627159,46.8601564817416,47.6426345784391,48.3513729216251,49.2900197311049,50.6652714161227,55.8141776976335,56.9007957185442,60.8689096535782,63.1173380206618,67.9142150639682,73.7239301149771,79.1281976321018,80.9140507462729,82.5805034201688,86.30361004333,87.0061045098318,87.9099284609859,88.4157304846941,90.8610594564182,90.8610594564182
40,"AUT","Austria",84.63136403123,85.4049790299353,89.356439750397,90.8334661558976,94.3230926648535,95.7885623547912,96.2309021612865,99.601427885853,99.7822668497629,99.81874814947,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",28.6102036134172,28.6102036134172,28.6102036134172,28.6102036134172,28.6102036134172,28.6102036134172,28.6102036134172,31.8456196646523,31.8456196646523,38.7774257597206,42.5671302121716,42.7246154399057,49.0261827926861,49.0261827926861,50.5545861293278,50.5864497986184,50.5864497986184,50.5864497986184,50.5864497986184,50.5864497986184,50.5864497986184,50.5864497986184,50.5864497986184,50.5864497986184,50.7402113677622,50.7402113677622,50.7402113677622,50.7402113677622
44,"BHS","Bahamas",4.488359646674,4.488359646674,4.488359646674,37.3991796343758,37.3991796343758,37.3991796343758,37.3991796343758,37.3991796343758,49.9386319425405,49.9386319425405,49.9386319425405,49.9386319425405,49.9386319425405,49.9386319425405,49.9386319425405,49.9430850083608,49.9430850083608,49.9430850083608,99.9993894777135,99.9993894777135,99.9993894777135,99.9993894777135,99.9993894777135,99.9993894777135,99.9993894777135,99.9993894777135,99.9993894777135,99.9993894777135
48,"BHR","Bahrain",4.75371906009386,4.75371906009386,4.75371906009386,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657800663487,12.0657800663487,12.0657800663487,14.6690146123036,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346
50,"BGD","Bangladesh",16.088414017058,16.088414017058,16.1398420498653,16.1398420498653,16.1398420498653,16.3816009297448,16.7681027389382,16.7695147006119,16.7695147006119,16.7695147006119,16.7853917903478,16.7956308047921,16.8284563896793,16.9155414802246,16.9155414802246,17.395156767602,18.1375389261068,18.1512666914242,18.1512666913854,18.1752029841529,18.1752029841529,18.1752029841529,18.1752029841529,18.1752029841529,18.1752029841529,18.1752029841529,18.1752029841529,18.1752029841529
52,"BRB","Barbados",2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201
112,"BLR","Belarus",77.4341342462012,77.5306670332935,77.6911927295341,77.6911927295341,77.6911927295341,77.7283601219812,77.7283601219812,77.8199361648859,77.8335398528859,77.8335398528859,77.8335398528859,77.8416282032106,77.8416282032106,77.8416282032106,77.8416282032106,77.8416282032106,79.0504316349982,79.0504316349982,79.06948186999,80.1240377207353,80.1997039998035,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312
56,"BEL","Belgium",20.2963878132092,20.4875604610597,20.6689674396722,21.0721385838943,21.2940034527943,22.1383477065057,23.5011925609315,23.8354616827968,24.2773585420259,41.0785870760355,41.2430800930086,41.4352728787982,41.5242956191175,41.7351643862007,41.7968977917597,42.4856580969835,42.5247521752615,42.5600804785028,42.6074484546967,42.7368389957575,50.8187582076215,53.6208396765453,86.3633701786924,86.4613426096982,86.8216530410829,90.5235208908582,90.7408962942341,90.7612390831559
84,"BLZ","Belize",95.1158754582512,95.1158754582512,96.6392036692024,96.6392036692024,97.6657834867641,97.6657834867641,97.6657834867753,98.5410432291118,98.6832807574788,98.6832807574482,98.6832807574482,98.6896105781829,98.6896991481765,98.7994830137412,98.7994830137412,98.7996434326988,98.9701360591747,98.9701360591747,99.3427384302465,99.3488283514647,99.3488283514647,99.3488283514647,99.3488283514647,99.3488283514647,99.3488283514647,99.3488283514647,99.3488283514647,99.3488283514647
204,"BEN","Benin",98.8576161460941,98.8576161460941,98.8576161460941,98.8576161460941,98.8576161460941,98.8576161460941,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
60,"BMU","Bermuda",9.92154143281265,9.92154143281265,9.92154143281265,9.92154143281265,9.92154143281265,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789
64,"BTN","Bhutan",95.8126631113682,95.8126631113682,95.8126631113682,95.8126631113682,95.8126631113682,96.8469335544777,96.8469335544777,96.8469335544777,96.8469335544777,96.8469335544777,96.8469335544777,96.8469335544777,96.8469335544777,96.8469335544777,100,100,100,100,100,100,100,100,100,100,100,100,100,100
68,"BOL","Bolivia",59.4562743131341,75.164469529417,75.2047961811406,88.2170690301571,90.3500320787765,90.3516574588141,91.7274243902283,91.8031165619312,97.0408664971282,97.0408664971282,97.0412531629676,97.04125316297,97.0800270008388,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559,97.1203779645559
70,"BIH","Bosnia and Herzegovina",2.43168087685488,7.836815845754,7.836815845754,7.836815845754,7.836815845754,7.836815845754,7.836815845754,7.836815845754,8.00213105743453,8.05941945095918,8.05941945095918,8.31601988515871,8.38880690323294,8.73556224305194,18.4497283775864,19.4426774076722,19.4426774076722,19.7428532425959,19.7518319481029,19.7568335012967,19.8029608941162,19.8074383324544,19.8115551743447,20.5524861745502,20.6140939569189,20.9007727405126,22.7397665986725,22.7397665986725
72,"BWA","Botswana",93.8487686935188,93.8487686935188,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
76,"BRA","Brazil",50.3455072102842,53.1271738453913,55.8560043138521,62.2709273277347,70.3675472614688,76.3178857495453,77.7353900489,80.2750253077465,82.0343486407594,82.1354989274129,82.4672609560659,82.9407460935771,85.8182156312624,85.9085181415859,86.1712439192518,86.3344568560418,86.4189871349782,86.4287035952524,86.4437701677788,86.4465722646082,86.473560228207,86.5504842727859,86.5564252309565,86.5665899139506,87.2898056423029,87.2900402341571,87.2900402341571,87.2900402341571
92,"VGB","British Virgin Islands",9.69203437624753,12.5694271630909,12.5694271630909,12.5694271630909,13.3263908776708,55.9860509360542,55.9860509360542,55.9860509360542,55.9860509360542,56.4094020859064,56.4094020859064,56.4094020859064,56.4094020859064,56.4094020859064,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242,56.5497152733242
96,"BRN","Brunei Darussalam",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,"BGR","Bulgaria",21.6616832214135,27.1861347961938,27.2052195823834,27.2251525309586,27.2251525309586,27.2338083546874,28.4017802977069,28.9559376310418,87.3363811040547,87.4485706718706,87.4573903671335,87.53191936445,87.5978074566394,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",75.1130878915635,75.1130878915635,75.1130878915635,75.1130878915635,75.1130878915635,75.1130878915635,77.2144867245112,79.8004768297859,79.8004768297859,79.8004768297859,79.8004768297859,79.8004768297859,79.8004768297859,80.4197410352071,80.5555866134135,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730053,95.3102017730959,95.8183588359024,95.9666612815624,95.9666612815624,95.9798440513347,95.9798440513347,95.9798440513347
108,"BDI","Burundi",33.3462927079357,33.3462927079357,33.3462927079357,33.3462927079357,33.3462927079357,33.3462927079357,35.0971286573851,35.0971286573851,35.8907049357892,35.8907049357892,35.8907049357892,35.8907049357892,35.8907049357892,35.8907049357892,35.8907049357892,35.8907049357892,35.8907049357892,35.9288046916469,35.9288046916469,46.6518003632118,46.6518003632118,46.6518003632118,46.6518003632118,46.6518003632118,46.6518003632118,46.6518003632118,46.6518003632118,46.6518003632118
132,"CPV","Cabo Verde",14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,14.6428440988081,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.6283828943901,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545,16.8781569453545
116,"KHM","Cambodia",73.9643232124241,73.9643232124241,74.4474368492606,74.4474368492606,74.4474368492606,74.44743684926,74.44743684926,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,74.4474368492606,100,100,100,100,100,100
120,"CMR","Cameroon",13.1318256101742,13.1318256101742,13.9770700069737,13.9770700069737,13.9770700069737,13.9770700069737,22.7221667832908,25.4648005738845,25.4648005738845,25.4648005738845,27.6615477232118,34.6573095871744,34.6625212542854,41.8712745772412,43.2298160934625,43.9704024609303,45.7968805970714,45.7968805970714,52.9996012627052,52.9996012627052,55.0980148053707,56.35154408048,56.35154408048,56.35154408048,57.8405643568146,57.8405643568146,57.8405643568146,57.8405643568146
124,"CAN","Canada",34.1156282216791,36.0671366022048,37.1292863897021,37.7370593449846,39.5155754443458,40.8691394831258,41.4066291375371,42.817454596829,43.0395901935561,46.1849903548609,46.7547022883028,48.2729687115277,48.6796540573411,49.6133182453818,51.2308932938776,52.8512927040139,53.2408425360049,54.5276745910926,55.5364459517073,57.6508209830285,57.8177315649851,59.2937674931176,59.7302859469418,59.9762550111347,61.5429356571653,63.0314927399553,63.1854894163476,63.1854894163476
136,"CYM","Cayman Islands",44.2777352694149,45.4303072410152,45.4303072410152,51.2691198510779,51.2691198510779,51.2691198510779,51.2691198510779,51.2691198510779,51.2691198510779,51.2691198510779,51.4940138979408,51.4940138979408,51.4940138979408,51.4940138979408,51.4940138979408,51.4940138979408,53.3345863320065,53.3427927103886,53.3646162889028,54.0631998114443,54.1540359066438,54.1540359066438,54.1540359066438,54.1540359066438,54.1540359066438,54.1540359066438,54.1540359066438,54.1540359066438
140,"CAF","Central African Republic",97.0122203088853,97.0122203088853,97.0122203088853,97.0122203088853,97.0122203089824,97.0122203089824,97.0122203089824,97.0122203089824,97.0122203089824,97.0122203089824,97.0122203089824,97.0216546707329,97.0216546707329,97.0216546707329,97.0216546707329,97.0216546707329,97.0216546707329,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659,97.0216546706659
148,"TCD","Chad",67.3074399128906,67.3074399128906,67.3074399128906,67.3074399128906,67.3074399128906,67.3074399128906,67.3074399128906,68.0866696223318,68.0866696223318,68.0866696223318,68.0866696223306,68.0866696223288,68.0866696223282,68.0866696223282,68.0866696223288,68.0866696223288,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233,68.08666962233
152,"CHL","Chile",55.7000614052498,57.8206842513418,58.5045410475912,58.5045410475915,58.5071484799998,58.5071484799995,58.5075525405815,58.5075525405815,58.5075525405815,58.5075525405697,58.635551422348,58.6820786425236,58.7089333015036,58.7089333015039,58.7089333015044,58.9401746411294,59.2196547802976,59.2352804485547,59.2352804485547,59.2483618846818,59.3082864134359,59.5837218014712,59.58372180147,59.593631773157,60.6598192869971,61.0552793812194,61.1189387915359,61.1189387915359
156,"CHN","China",0.883824150976776,0.883824150976776,0.886839533891506,0.898015336163994,0.898015336163994,1.01269305533119,1.01269305533119,1.01269305533119,1.95342205367668,1.95342205367668,2.16900882986734,2.16900882986734,2.16900882986734,2.16900882986734,2.31111117169092,2.31131575642221,2.31131575642221,2.64087743974179,2.64087743974179,2.7899218482084,2.7899218482084,2.83696040898776,2.83696040898776,2.83696040898776,4.62621930610671,4.62621930610671,4.62621930610671,4.62621930610671
170,"COL","Colombia",63.2833076482394,63.2833076482394,63.2856437683082,63.3101358783806,64.6735659955882,64.75310349727,64.7564469458512,64.8297114195571,70.3546260901577,70.3652636311253,70.3685083005065,73.1146340239576,73.8959218125324,76.4637362407477,77.97232840752,82.7578822368129,82.7703698807741,82.8162088158412,82.9431868475918,83.0996413008312,83.380932184,83.7244830286835,83.7312760645859,83.8004969825394,85.8096399464653,85.9941477461259,86.0156277135547,86.0156277135547
174,"COM","Comoros",0,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,4.10245298849361,59.9893318507835,59.9893318507835,59.9893318507835,59.9893318507835,100,100,100,100,100,100,100,100,100,100,100,100
184,"COK","Cook Islands",5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807,5.21905314708807
188,"CRI","Costa Rica",98.4428225925129,98.4945566006206,98.4945566005994,98.4945566006,98.5396826774106,98.5396826774235,98.5396826774112,98.8702187405188,98.8702187405218,98.8702187405218,98.8702187405218,98.8702187405218,98.8702187405218,98.8702187405218,98.8702187405218,99.0068863902518,99.0068863902512,99.0068863902512,99.0068863902512,99.0068863902512,99.0068863902512,99.0068863902512,99.0068863902512,99.0068863902512,99.0068863981712,99.0068863981659,99.0598361353494,99.0598361353494
384,"CIV","Cote d'Ivoire",99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.8727405978553,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888,99.9625363756888
191,"HRV","Croatia",47.4858431746066,49.2421919762628,49.2888548435879,49.2981763942023,49.6300282974778,58.7262761635691,58.7809609207986,60.3362975098171,60.3462845531082,60.7632957010194,60.7632957010194,60.7632957010829,62.3090913791276,62.3090913791276,62.30909137913,62.30909137913,62.3368696968447,71.3043294255494,71.3043294255494,100,100,100,100,100,100,100,100,100
192,"CUB","Cuba",0,0,0,0,0,0,0,34.4794043752281,42.6318634970007,42.6318634970007,42.6318634970007,42.6318634970007,42.6318634970007,42.6318634970007,43.7574526191249,43.7574526191249,57.6326262890829,57.6326262890829,58.9173824991047,58.9173824991047,58.9173824991047,58.9173824991047,58.9173824991047,58.9173824991047,58.9173824991047,58.9173824991047,58.9173824991047,58.9173824991047
531,"CUW","Curacao",47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,47.2411422166711,76.9545155271365,76.9545155271365,76.9545155271365,76.9545155271365,76.9545155271365,78.79351686099,78.79351686099,78.79351686099,78.79351686099
196,"CYP","Cyprus",42.0210173351315,42.0210173351315,42.1016088382701,42.1016088382701,42.1583155446001,42.1583155446001,42.9000459845309,43.8245799274791,43.8245799274791,45.1876634240464,48.0300961598413,59.6229682850523,59.6229682850523,86.9723748034653,98.0446431706594,98.3915164979288,98.3915164979288,100,100,100,100,100,100,100,100,100,100,100
203,"CZE","Czech Republic",84.6591851659194,84.7411418911959,84.8105587825606,84.8865728206371,85.0670193564835,85.6274292516912,85.6746182207071,85.7054074605024,85.7516955117459,85.7522771783194,98.96953898398,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,"COD","Dem. Rep. Congo",49.0286919191122,49.0286919191122,49.1984577082445,49.1984577082445,49.1984577082445,49.1984577082445,49.1984577082445,49.1984577082445,49.1984577082445,49.1984577082445,49.1984577082445,49.1984577082445,52.5042941908526,59.5542737461418,73.1734328531882,73.1734328531882,73.1734328531882,73.1734329058371,73.4355898106171,73.4355898106171,73.4355898106171,73.4355898106171,75.6945119203188,80.5806002904947,80.5806002904947,80.5806002904947,80.5806002904947,80.5806002904947
